n,a,b,c,d,e
0,1,2,3,4,5
1,27,0,0,0,0
2,100,2.9,-50,59,15
3,100,2.9,-50,59,17.5
4,100,2.9,-50,59,20
5,100,8.5,0,404.5,15
6,100,8.5,0,404.5,17.5
7,100,8.5,0,404.5,20
8,100,14,110,750,15
9,100,14,110,750,17.5
10,100,14,110,750,20
11,1250,2.9,0,750,15
12,1250,2.9,0,750,17.5
13,1250,2.9,0,750,20
14,1250,8.5,110,59,15
15,1250,8.5,110,59,17.5
16,1250,8.5,110,59,20
17,1250,14,-50,404.5,15
18,1250,14,-50,404.5,17.5
19,1250,14,-50,404.5,20
20,1500,2.9,110,404.5,15
21,1500,2.9,110,404.5,17.5
22,1500,2.9,110,404.5,20
23,1500,8.5,-50,750,15
24,1500,8.5,-50,750,17.5
25,1500,8.5,-50,750,20
26,1500,14,0,59,15
27,1500,14,0,59,17.5
28,1500,14,0,59,20
,,,,,
